"Equipe","Nom","Poste","Date de naissance","Taille","Poids"
"Agen","Anton PEIKRISHVILI","Pilier",18/09/87,183,122
"Agen","Dave RYAN","Pilier",21/04/86,183,116
"Agen","Giorgi TETRASHVILI","Pilier",31/08/93,177,112
"Agen","Kamaliele TUFELE","Pilier",11/10/95,182,123
"Agen","Malino VANAÏ","Pilier",04/05/93,183,119
"Agen","Morgan PHÉLIPPONNEAU","Pilier",05/09/89,185,106
"Agen","Walter DESMAISON","Pilier",18/10/91,188,119
"Agen","Clément MARTINEZ","Talonneur",14/03/96,181,105
"Agen","Marc BARTHOMEUF","Talonneur",19/07/91,174,100
"Agen","Paula NGAUAMO","Talonneur",19/02/90,182,117
"Agen","Adrian MOTOC","2ème ligne",11/07/96,197,108
"Agen","Andrés ZAFRA","2ème ligne",26/03/96,197,116
"Agen","Mickaël DE MARCO","2ème ligne",22/04/89,195,134
"Agen","Pierce PHILLIPS","2ème ligne",06/10/92,203,119
"Agen","Tom MURDAY","2ème ligne",27/04/89,200,114
"Agen","Dylan HAYES","3ème ligne",11/02/94,194,114
"Agen","Laurence PEARCE","3ème ligne",03/12/90,192,120
"Agen","Romain BRIATTE","3ème ligne",18/02/93,194,105
"Agen","Vincent FARRÉ","3ème ligne",06/06/90,193,103
"Agen","Hugo VERDU","Mêlée",24/10/96,176,82
"Agen","Paul ABADIE","Mêlée",28/07/94,176,88
"Agen","Xavier CHAUVEAU","Mêlée",14/10/92,180,84
"Agen","Raphaël LAGARDE","Ouverture",30/10/88,182,92
"Agen","Alban CONDUCHÉ","Centre",29/10/96,190,102
"Agen","Johann SADIE","Centre",23/01/89,188,96
"Agen","Jordan PULETUA","Centre",28/02/90,193,105
"Agen","Sam VAKA","Centre",26/10/92,187,98
"Agen","Benito MASILEVU","Ailier",07/10/89,178,83
"Agen","Julien JANÉ","Ailier",12/09/89,186,100
"Agen","Timilai ROKODURU","Ailier",21/01/93,191,113
"Agen","Valentin SAURS","Ailier",12/02/95,182,82
"Agen","JJ TAULAGI","Arrière",18/06/93,180,90
"Agen","Loris TOLOT","Arrière",03/03/93,185,90
"Agen","Mathieu LAMOULIE","Arrière",07/08/90,184,93
"Bayonne","Aretz IGUINIZ","Pilier",03/06/83,188,114
"Bayonne","Census JOHNSTON","Pilier",06/05/81,189,130
"Bayonne","Jean-Baptiste DE CLERCQ","Pilier",23/02/94,183,115
"Bayonne","Jon ZABALA","Pilier",26/11/96,192,128
"Bayonne","Luc MOUSSET","Pilier",03/04/94,180,115
"Bayonne","Swan CORMENIER","Pilier",10/01/96,178,117
"Bayonne","Toma'Akino TAUFA","Pilier",09/03/95,180,125
"Bayonne","Ugo BONIFACE","Pilier",21/07/98,190,125
"Bayonne","Viliamu AFATIA","Pilier",24/05/90,189,124
"Bayonne","Maxime DELONCA","Talonneur",29/04/88,180,107
"Bayonne","Maxime LAMOTHE","Talonneur",03/10/98,184,109
"Bayonne","Torsten VAN JAARSVELD","Talonneur",30/06/87,175,106
"Bayonne","Adam JAULHAC","2ème ligne",31/01/88,198,125
"Bayonne","Bastien BERGOUNIOUX","2ème ligne",18/06/96,202,100
"Bayonne","Edwin MAKA","2ème ligne",25/01/93,196,140
"Bayonne","Evrard Dion OULAI","2ème ligne",22/06/93,198,125
"Bayonne","Guillaume DUCAT","2ème ligne",20/05/96,205,115
"Bayonne","Mariano GALARZA","2ème ligne",11/12/86,202,114
"Bayonne","Pieter Jan VAN LILL","2ème ligne",04/12/83,193,120
"Bayonne","André GORIN","3ème ligne",30/11/87,192,111
"Bayonne","Antoine BATTUT","3ème ligne",01/01/84,192,104
"Bayonne","Armandt KOSTER","3ème ligne",20/01/90,192,114
"Bayonne","Arnaud DUPUTS","3ème ligne",26/07/95,188,98
"Bayonne","Baptiste HÉGUY","3ème ligne",11/05/98,196,97
